"id","city","longitude","latitude"
"1110902","Dev Mori","73.43333300","23.66666700"
"1110903","Dev-ni-Mori","73.43333300","23.66666700"
"1110848","Devani Mori","73.43333300","23.66666700"
"1110868","Devgad Baria","73.90000000","22.70000000"
"1110870","Devgadh Bariya","73.90000000","22.70000000"
"1110895","Devjagan","72.53333300","21.91666700"
"1110898","Devlia","71.85000000","22.78333300"
"1110918","Dewan","72.83333300","22.28333300"
"1110926","Deyall","71.95000000","21.68333300"
"1110948","Dhaita","73.86666700","21.25000000"
"1110986","Dhamlej","70.61305600","20.77722200"
"1111041","Dhandhalpur","71.35000000","22.38333300"
"1111046","Dhandhuka","71.98333300","22.36666700"
"1111055","Dhanera","72.01666700","24.51666700"
"1111066","Dhangdhar","73.46666700","20.86666700"
"1111085","Dhank","70.13333300","21.76666700"
"1111111","Dhanpur","74.10000000","22.63333300"
"1111118","Dhansura","73.20000000","23.35000000"
"1111139","Dharabandar","71.23333300","20.81666700"
"1111150","Dharampore","73.18333300","20.53333300"
"1111152","Dharampur","73.18333300","20.53333300"
"1111162","Dharara","72.78333300","24.26666700"
"1111164","Dharasana","72.91666700","20.68333300"
"1111165","Dharasma","72.91666700","20.68333300"
"1111189","Dhari","71.01666700","21.33333300"
"1111197","Dharmaj","72.80000000","22.41666700"
"1111229","Dharoli","73.23333300","21.61666700"
"1111243","Dhasa","71.51666700","21.80000000"
"1111295","Dhima","71.51666700","24.46666700"
"1111306","Dhinoj","72.28333300","23.66666700"
"1111335","Dhola","71.78333300","21.88333300"
"1111341","Dholasa","70.85000000","20.81666700"
"1111343","Dholera","72.20000000","22.25000000"
"1111346","Dholia","72.85000000","24.15000000"
"1111348","Dholka","72.46666700","22.71666700"
"1111349","Dholovira","70.21666700","23.86666700"
"1111365","Dhorail","70.45000000","21.73333300"
"1111366","Dhoraji","70.45000000","21.73333300"
"1111383","Dhrangadhra","71.46666700","22.98333300"
"1111384","Dhrangadra","71.46666700","22.98333300"
"1111385","Dhrasanvel","69.03333300","22.28333300"
"1111386","Dhrol","70.41666700","22.56666700"
"1111421","Dhunvav","70.13333300","22.48333300"
"1111436","Dhurrumpur","73.18333300","20.53333300"
"1111442","Dhuvaran","72.80000000","22.23333300"
"1111443","Dhuwaran","72.80000000","22.23333300"
"1111495","Dighas","73.06666700","21.26666700"
"1111520","Digsar","71.48333300","22.71666700"
"1111533","Dihor","72.03333300","21.48333300"
"1111543","Dikshal","73.33333300","20.28333300"
"1111547","Dilarampur","73.18333300","20.53333300"
"1111555","Dillwara","73.10000000","24.35000000"
"1111556","Dilwara","73.10000000","24.35000000"
"1111587","Diodar","71.78333300","24.10000000"
"1111604","Disa","72.16666700","24.25000000"
"1111634","Diyodar","71.78333300","24.10000000"
"1111692","Dohad","74.26666700","22.83333300"
"1111712","Dolasa","70.85000000","20.81666700"
"1111715","Dolatpur","73.28333300","21.58333300"
"1111725","Dolwan","73.33333300","20.90000000"
"1111759","Dongar","71.55000000","21.06666700"
"1111796","Dores","70.96666700","20.71666700"
"1111824","Drafa","70.10000000","21.96666700"
"1111875","Dudhai","70.13333300","23.31666700"
"1111877","Dudhala","71.06666700","21.16666700"
"1111883","Dudhia","74.00000000","22.88333300"
"1111895","Dudkha","71.68333300","23.61666700"
"1111954","Dumas","72.70000000","21.10000000"
"1111968","Dumkhal","73.83333300","21.73333300"
"1111972","Dumra","69.03333300","23.05000000"
"1112002","Dungarpur","71.73333300","21.28333300"
"1112014","Dungri","74.11666700","22.96666700"
"1112071","Duva","71.91666700","24.53333300"
"1112083","Dwarka","68.96777800","22.23944400"
"1112116","Eklara","72.81666700","23.75000000"
"1112130","Elao","72.80000000","21.45000000"
"1112245","Fakirwari","69.61666700","23.21666700"
"1112253","Faradi","69.51666700","22.95000000"
"1112285","Fatehgadh","70.85000000","23.68333300"
"1112298","Fatehgndh","70.85000000","23.68333300"
"1112301","Fatehpura","74.03333300","23.25000000"
"1112358","Forte de Nagoá","70.91666700","20.71666700"
"1112374","Gabat","73.35000000","23.26666700"
"1112390","Gad Boriad","73.83333300","22.05000000"
"1112395","Gadhada","71.56666700","21.96666700"
"1112396","Gadhagra","71.38333300","21.26666700"
"1112398","Gadhaka","69.41666700","22.10000000"
"1112399","Gadhali","71.61666700","21.86666700"
"1112400","Gadhechi","69.04388900","22.35611100"
"1112402","Gadhia","71.13333300","21.21666700"
"1112406","Gadhka","69.41666700","22.10000000"
"1112407","Gadhoola","71.71666700","21.73333300"
"1112408","Gadhula","71.71666700","21.73333300"
"1112417","Gadra","70.35000000","23.86666700"
"1112419","Gadu","70.29388900","21.05000000"
"1112423","Gaga","69.19333300","22.13972200"
"1112539","Gamph","72.16666700","22.36666700"
"1112544","Ganadevi","72.98333300","20.81666700"
"1112572","Gandeva","73.06666700","20.83333300"
"1112573","Gandevi","72.98333300","20.81666700"
"1112582","Gandhidham","70.13333300","23.08333300"
"1112585","Gandhinagar","72.68333300","23.21666700"
"1112593","Gandi Dham","70.13333300","23.08333300"
"1112608","Ganeshpura","72.35000000","23.91666700"
"1112614","Gangabana","69.95000000","22.25000000"
"1112706","Ganod","70.18333300","21.66666700"
"1112732","Garada","74.11666700","23.16666700"
"1112746","Garara","74.11666700","23.16666700"
"1112749","Garbada","74.31666700","22.68333300"
"1112750","Garbara","74.31666700","22.68333300"
"1112761","Garej","69.86527800","21.46638900"
"1112773","Garh Anapur","72.18333300","24.58333300"
"1112813","Gariadhar","71.58333300","21.53333300"
"1112824","Gariyadhar","71.58333300","21.53333300"
"1112826","Garkhadi","73.88333300","20.80000000"
"1112832","Garmali","71.16666700","21.35000000"
"1112833","Garmali Nani","71.16666700","21.35000000"
"1112856","Garvi","73.68333300","20.83333300"
"1112868","Gathaman","72.38333300","24.15000000"
"1112912","Gavridad","70.78333300","22.40000000"
"1112927","Gedi","71.93333300","22.61666700"
"1112967","Ghaluad","72.71666700","20.08333300"
"1112968","Ghalvad","72.71666700","20.08333300"
"1112972","Ghamnad","72.95000000","21.95000000"
"1112975","Ghana","73.71666700","20.88333300"
"1112985","Ghandinagar","72.68333300","23.21666700"
"1112996","Ghanshyampur","71.20000000","22.95000000"
"1113005","Ghantila","71.01666700","23.13333300"
"1113006","Ghantoli","73.30000000","21.30000000"
"1113105","Ghodasar","71.85000000","24.45000000"
"1113106","Ghodbar","73.30000000","21.41666700"
"1113114","Ghogha","72.28333300","21.68333300"
"1113119","Gholau","73.80000000","22.70000000"
"1113120","Gholav","73.80000000","22.70000000"
"1113122","Gholvad","72.71666700","20.08333300"
"1113135","Ghorasar","72.83333300","22.90000000"
"1113145","Ghota","70.90000000","22.83333300"
"1113156","Ghotu","70.90000000","22.83333300"
"1113161","Ghuar Mota","68.51666700","23.66666700"
"1113171","Ghunada","70.65000000","22.70000000"
"1113202","Ghutia","73.85000000","22.41666700"
"1113221","Gigasaran","70.95000000","21.28333300"
"1113226","Gijram","73.11666700","21.48333300"
"1113286","Goarsama","69.76666700","22.85000000"
"1113327","Godhr","73.63333300","22.75000000"
"1113326","Godhra","73.63333300","22.75000000"
"1113334","Godra","69.26666700","22.91666700"
"1113349","Gogha","72.28333300","21.68333300"
"1113374","Goima","73.01666700","20.45000000"
"1113378","Gokalpura","71.95000000","23.75000000"
"1113386","Gokhatar","71.38333300","23.75000000"
"1113387","Gokolpura","71.95000000","23.75000000"
"1113402","Golana","72.41666700","22.45000000"
"1113455","Gomta","70.73333300","21.86666700"
"1113460","Gondal","70.80000000","21.96666700"
"1113518","Gop","69.91666700","22.01666700"
"1113543","Goraj","73.48333300","22.33333300"
"1113579","Gorsar","69.89944400","21.32944400"
"1113587","Gorva","73.16666700","22.31666700"
"1113588","Gorwa","73.16666700","22.31666700"
"1113606","Gotarka","71.48333300","23.73333300"
"1113616","Gothva","72.61666700","23.63333300"
"1113701","Guema","73.01666700","20.45000000"
"1113776","Gulur","72.71666700","20.08333300"
"1113787","Gumanday","73.11666700","21.70000000"
"1113788","Gumandev","73.11666700","21.70000000"
"1113821","Gunda","69.71666700","22.01666700"
"1113827","Gunda M","69.71666700","22.01666700"
"1113824","Gundala","69.76666700","22.91666700"
"1113846","Gundi","72.21666700","22.55000000"
"1113838","Gundiali","71.60000000","22.61666700"
"1113898","Gunra","69.96666700","22.05000000"
"1113941","Gurgat","69.19166700","22.19777800"
"1113991","Guthli","73.35000000","23.03333300"
"1114016","Gyram","73.11666700","21.48333300"
"1114044","Hadiad","72.86666700","22.70000000"
